,section,link
0,정치,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=100
1,경제,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=101
2,사회,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=102
3,생활/문화,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=103
4,IT/과학,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=105
5,세계,https://news.naver.com/main/main.naver?mode=LSD&mid=shm&sid1=104
6,랭킹,https://news.naver.com/main/ranking/popularDay.naver
7,신문보기,https://news.naver.com/newspaper/home?viewType=pc
8,오피니언,https://news.naver.com/opinion/home
9,TV,https://news.naver.com/main/tv/index.naver?mid=tvh
10,팩트체크,https://news.naver.com/main/factcheck/main.naver
11,알고리즘 안내,https://media.naver.com/algorithm
